angle : 172.106323, distance : 0.466000
angle : 172.452393, distance : 0.465000
angle : 172.792969, distance : 0.464000
angle : 173.122559, distance : 0.465000
angle : 173.468628, distance : 0.464000
angle : 173.858643, distance : 0.462000
angle : 174.199219, distance : 0.461000
angle : 174.545288, distance : 0.463000
angle : 174.885864, distance : 0.463000
angle : 175.215454, distance : 0.461000
angle : 175.561523, distance : 0.462000
angle : 175.902100, distance : 0.461000
angle : 176.231689, distance : 0.459000
angle : 176.577759, distance : 0.459000
angle : 176.918335, distance : 0.459000
angle : 177.264404, distance : 0.459000
angle : 177.588501, distance : 0.460000
angle : 177.934570, distance : 0.460000
angle : 178.280640, distance : 0.459000
angle : 178.604736, distance : 0.458000
angle : 178.950806, distance : 0.459000
angle : 179.296875, distance : 0.458000
angle : 179.637451, distance : 0.458000
angle : 179.967041, distance : 0.456000
angle : 180.307617, distance : 0.457000
angle : 180.653687, distance : 0.457000
angle : 180.983276, distance : 0.459000
angle : 181.323853, distance : 0.458000
angle : 181.669922, distance : 0.457000
angle : 181.999512, distance : 0.458000
angle : 182.340088, distance : 0.456000
angle : 182.686157, distance : 0.456000
angle : 183.026733, distance : 0.457000
angle : 183.356323, distance : 0.457000
angle : 183.702393, distance : 0.456000
angle : 184.042969, distance : 0.456000
angle : 184.372559, distance : 0.456000
angle : 184.718628, distance : 0.457000
angle : 185.059204, distance : 0.458000
angle : 185.405273, distance : 0.458000
angle : 185.729370, distance : 0.458000
angle : 186.075439, distance : 0.457000
angle : 186.421509, distance : 0.457000
angle : 186.745605, distance : 0.458000
angle : 187.091675, distance : 0.460000
angle : 187.432251, distance : 0.459000
angle : 187.778320, distance : 0.458000
angle : 188.107910, distance : 0.459000
angle : 188.448486, distance : 0.460000
angle : 188.794556, distance : 0.460000
angle : 189.124146, distance : 0.459000
angle : 189.464722, distance : 0.459000
angle : 189.810791, distance : 0.460000
angle : 190.151367, distance : 0.461000
angle : 190.480957, distance : 0.461000
angle : 190.827026, distance : 0.462000
angle : 191.107178, distance : 0.464000
angle : 191.497192, distance : 0.463000
angle : 191.843262, distance : 0.462000
angle : 192.123413, distance : 0.464000
angle : 192.529907, distance : 0.463000
angle : 192.854004, distance : 0.463000
angle : 193.156128, distance : 0.466000
angle : 193.480225, distance : 0.466000
angle : 193.826294, distance : 0.466000
angle : 194.166870, distance : 0.467000
angle : 194.496460, distance : 0.467000
angle : 194.842529, distance : 0.467000
angle : 195.183105, distance : 0.468000
angle : 195.529175, distance : 0.469000
angle : 195.858765, distance : 0.469000
angle : 196.199341, distance : 0.470000
angle : 196.545410, distance : 0.471000
angle : 196.885986, distance : 0.472000
angle : 197.171631, distance : 0.473000
angle : 197.495728, distance : 0.474000
angle : 197.841797, distance : 0.473000
angle : 198.182373, distance : 0.475000
angle : 198.528442, distance : 0.476000
angle : 198.858032, distance : 0.477000
angle : 199.198608, distance : 0.478000
angle : 199.544678, distance : 0.479000
angle : 199.885254, distance : 0.480000
angle : 200.214844, distance : 0.480000
angle : 200.494995, distance : 0.483000
angle : 200.841064, distance : 0.485000
angle : 201.187134, distance : 0.484000
angle : 201.527710, distance : 0.485000
angle : 201.857300, distance : 0.486000
angle : 202.197876, distance : 0.487000
angle : 202.543945, distance : 0.489000
angle : 202.890015, distance : 0.490000
angle : 203.214111, distance : 0.490000
angle : 203.560181, distance : 0.491000
angle : 203.840332, distance : 0.493000
angle : 204.186401, distance : 0.495000
angle : 204.526978, distance : 0.496000
angle : 204.856567, distance : 0.497000
angle : 205.202637, distance : 0.497000
angle : 205.543213, distance : 0.498000
angle : 205.872803, distance : 0.499000
angle : 206.213379, distance : 0.501000
angle : 206.499023, distance : 0.503000
angle : 206.839600, distance : 0.505000
angle : 207.185669, distance : 0.507000
angle : 207.526245, distance : 0.508000
angle : 207.855835, distance : 0.509000
angle : 208.201904, distance : 0.510000
