angle : 268.615723, distance : 0.000000
angle : 268.901367, distance : 0.000000
angle : 269.247437, distance : 0.000000
angle : 269.593506, distance : 0.000000
angle : 269.692383, distance : 0.000000
angle : 269.934082, distance : 0.000000
angle : 270.280151, distance : 0.000000
angle : 270.620728, distance : 0.000000
angle : 270.966797, distance : 0.000000
angle : 271.851196, distance : 0.000000
angle : 271.983032, distance : 0.000000
angle : 272.433472, distance : 0.000000
angle : 272.779541, distance : 0.000000
angle : 272.933350, distance : 0.000000
angle : 273.120117, distance : 0.000000
angle : 273.466187, distance : 0.000000
angle : 273.812256, distance : 0.000000
angle : 274.152832, distance : 0.000000
angle : 274.498901, distance : 0.000000
angle : 274.839478, distance : 0.000000
angle : 275.185547, distance : 0.000000
angle : 275.526123, distance : 0.000000
angle : 275.872192, distance : 0.000000
angle : 276.218262, distance : 0.000000
angle : 276.558838, distance : 0.000000
angle : 276.888428, distance : 0.000000
angle : 277.229004, distance : 0.000000
angle : 277.250977, distance : 0.000000
angle : 278.333130, distance : 0.000000
angle : 278.371582, distance : 0.000000
angle : 278.717651, distance : 0.000000
angle : 279.404297, distance : 0.000000
angle : 279.744873, distance : 0.000000
angle : 280.090942, distance : 0.000000
angle : 280.437012, distance : 0.000000
angle : 280.777588, distance : 0.000000
angle : 281.123657, distance : 0.000000
angle : 281.211548, distance : 0.000000
angle : 281.464233, distance : 0.000000
angle : 281.574097, distance : 0.000000
angle : 281.810303, distance : 0.000000
angle : 282.150879, distance : 0.000000
angle : 282.480469, distance : 0.000000
angle : 282.826538, distance : 0.000000
angle : 283.167114, distance : 0.000000
angle : 283.513184, distance : 0.000000
angle : 283.859253, distance : 0.000000
angle : 284.199829, distance : 0.000000
angle : 284.545898, distance : 0.000000
angle : 284.886475, distance : 0.000000
angle : 285.166626, distance : 0.000000
angle : 285.512695, distance : 0.000000
angle : 285.534668, distance : 0.000000
angle : 285.891724, distance : 0.000000
angle : 288.231812, distance : 0.828000
angle : 288.638306, distance : 0.818000
angle : 288.984375, distance : 0.806000
angle : 289.324951, distance : 0.796000
angle : 289.714966, distance : 0.788000
angle : 290.511475, distance : 0.736000
angle : 290.857544, distance : 0.730000
angle : 291.198120, distance : 0.730000
angle : 291.544189, distance : 0.730000
angle : 291.890259, distance : 0.730000
angle : 292.011108, distance : 0.000000
angle : 292.230835, distance : 0.732000
angle : 292.373657, distance : 0.000000
angle : 292.576904, distance : 0.732000
angle : 292.917480, distance : 0.732000
angle : 293.263550, distance : 0.732000
angle : 293.455811, distance : 0.000000
angle : 293.604126, distance : 0.732000
angle : 293.950195, distance : 0.732000
angle : 294.296265, distance : 0.734000
angle : 294.636841, distance : 0.734000
angle : 294.982910, distance : 0.734000
angle : 295.312500, distance : 0.734000
angle : 295.653076, distance : 0.734000
angle : 295.999146, distance : 0.734000
angle : 296.339722, distance : 0.732000
angle : 296.685791, distance : 0.732000
angle : 297.026367, distance : 0.732000
angle : 297.372437, distance : 0.732000
angle : 297.718506, distance : 0.732000
angle : 298.059082, distance : 0.732000
angle : 298.405151, distance : 0.732000
angle : 298.745728, distance : 0.734000
angle : 299.091797, distance : 0.736000
angle : 299.432373, distance : 0.736000
angle : 299.778442, distance : 0.738000
angle : 300.124512, distance : 0.740000
angle : 300.465088, distance : 0.742000
angle : 300.651855, distance : 0.000000
angle : 300.745239, distance : 0.746000
angle : 301.014404, distance : 0.000000
angle : 301.091309, distance : 0.750000
angle : 301.371460, distance : 0.000000
angle : 301.437378, distance : 0.754000
angle : 301.734009, distance : 0.000000
angle : 301.777954, distance : 0.760000
angle : 302.124023, distance : 0.762000
angle : 302.464600, distance : 0.764000
angle : 302.810669, distance : 0.768000
angle : 303.107300, distance : 0.770000
angle : 303.447876, distance : 0.772000
angle : 303.793945, distance : 0.776000
angle : 303.892822, distance : 0.000000
angle : 304.140015, distance : 0.778000
angle : 304.464111, distance : 0.780000
angle : 304.810181, distance : 0.782000
angle : 305.156250, distance : 0.784000
angle : 305.496826, distance : 0.788000
angle : 305.842896, distance : 0.790000
angle : 306.139526, distance : 0.796000
angle : 306.480103, distance : 0.798000
angle : 306.826172, distance : 0.804000
angle : 307.166748, distance : 0.812000
angle : 307.452393, distance : 0.822000
angle : 307.792969, distance : 0.832000
angle : 308.139038, distance : 0.840000
angle : 308.479614, distance : 0.846000
angle : 308.765259, distance : 0.848000
angle : 309.105835, distance : 0.850000
angle : 309.451904, distance : 0.850000
angle : 309.792480, distance : 0.850000
angle : 310.138550, distance : 0.852000
angle : 310.479126, distance : 0.854000
angle : 310.825195, distance : 0.858000
angle : 311.171265, distance : 0.864000
angle : 311.511841, distance : 0.872000
angle : 311.791992, distance : 0.886000
angle : 312.138062, distance : 0.902000
angle : 313.121338, distance : 0.920000
angle : 313.593750, distance : 0.000000
angle : 313.934326, distance : 0.000000
angle : 314.280396, distance : 0.000000
angle : 314.620972, distance : 0.000000
angle : 314.967041, distance : 0.000000
angle : 315.307617, distance : 0.000000
angle : 315.653687, distance : 0.000000
angle : 315.999756, distance : 0.000000
angle : 316.406250, distance : 0.000000
angle : 316.746826, distance : 0.000000
angle : 317.092896, distance : 0.000000
angle : 317.433472, distance : 0.000000
angle : 317.779541, distance : 0.000000
angle : 318.120117, distance : 0.000000
angle : 318.449707, distance : 0.000000
angle : 318.795776, distance : 0.000000
angle : 319.136353, distance : 0.000000
angle : 319.482422, distance : 0.000000
angle : 319.822998, distance : 0.000000
angle : 320.169067, distance : 0.000000
angle : 320.515137, distance : 0.000000
angle : 320.855713, distance : 0.000000
angle : 321.201782, distance : 0.000000
angle : 321.542358, distance : 0.000000
angle : 321.948853, distance : 0.000000
angle : 322.294922, distance : 0.000000
angle : 322.635498, distance : 0.000000
angle : 322.981567, distance : 0.000000
angle : 323.327637, distance : 0.000000
angle : 323.668213, distance : 0.000000
angle : 324.014282, distance : 0.000000
angle : 324.354858, distance : 0.000000
angle : 324.700928, distance : 0.000000
angle : 325.041504, distance : 0.000000
angle : 325.387573, distance : 0.000000
angle : 325.733643, distance : 0.000000
angle : 326.074219, distance : 0.000000
angle : 326.420288, distance : 0.000000
angle : 326.760864, distance : 0.000000
angle : 327.106934, distance : 0.000000
angle : 327.453003, distance : 0.000000
angle : 327.650757, distance : 0.000000
angle : 327.793579, distance : 0.000000
angle : 328.013306, distance : 0.000000
angle : 328.139648, distance : 0.000000
angle : 328.480225, distance : 0.000000
angle : 328.732910, distance : 0.000000
angle : 328.826294, distance : 0.000000
angle : 329.095459, distance : 0.000000
angle : 329.452515, distance : 0.000000
angle : 329.902954, distance : 0.000000
angle : 334.511719, distance : 0.293000
angle : 334.857788, distance : 0.295000
angle : 335.198364, distance : 0.296000
angle : 335.494995, distance : 0.299000
angle : 335.780640, distance : 0.302000
angle : 336.077271, distance : 0.305000
angle : 336.357422, distance : 0.308000
angle : 336.654053, distance : 0.312000
angle : 336.934204, distance : 0.317000
angle : 337.214355, distance : 0.321000
angle : 337.510986, distance : 0.325000
angle : 337.796631, distance : 0.330000
angle : 338.093262, distance : 0.335000
angle : 338.373413, distance : 0.339000
angle : 338.670044, distance : 0.343000
angle : 338.950195, distance : 0.349000
angle : 346.014404, distance : 0.000000
angle : 346.371460, distance : 0.000000
angle : 347.091064, distance : 0.000000
angle : 353.215942, distance : 1.042000
angle : 353.562012, distance : 1.040000
angle : 353.902588, distance : 1.038000
angle : 354.248657, distance : 1.036000
angle : 354.589233, distance : 1.036000
angle : 354.935303, distance : 1.036000
angle : 355.275879, distance : 1.036000
angle : 355.621948, distance : 1.036000
angle : 355.968018, distance : 1.034000
angle : 356.308594, distance : 1.034000
angle : 356.654663, distance : 1.034000
angle : 356.995239, distance : 1.034000
angle : 357.341309, distance : 1.032000
angle : 357.687378, distance : 1.030000
angle : 358.027954, distance : 1.030000
angle : 358.374023, distance : 1.030000
angle : 358.714600, distance : 1.030000
angle : 359.060669, distance : 1.028000
angle : 359.401245, distance : 1.028000
angle : 359.747314, distance : 1.030000
