angle : 61.671753, distance : 0.000000
angle : 61.951904, distance : 0.000000
angle : 62.292480, distance : 0.000000
angle : 62.330933, distance : 0.000000
angle : 62.638550, distance : 0.000000
angle : 62.979126, distance : 0.000000
angle : 63.050537, distance : 0.000000
angle : 63.671265, distance : 0.000000
angle : 64.011841, distance : 0.000000
angle : 64.132690, distance : 0.000000
angle : 64.495239, distance : 0.000000
angle : 64.698486, distance : 0.000000
angle : 65.044556, distance : 0.000000
angle : 65.390625, distance : 0.000000
angle : 65.571899, distance : 0.000000
angle : 65.731201, distance : 0.000000
angle : 66.077271, distance : 0.000000
angle : 66.763916, distance : 0.000000
angle : 67.060547, distance : 0.000000
angle : 67.401123, distance : 0.000000
angle : 67.730713, distance : 0.000000
angle : 67.747192, distance : 0.000000
angle : 68.093262, distance : 0.000000
angle : 68.713989, distance : 0.000000
angle : 68.812866, distance : 0.000000
angle : 69.060059, distance : 0.000000
angle : 69.406128, distance : 0.000000
angle : 69.746704, distance : 0.000000
angle : 70.092773, distance : 0.000000
angle : 70.433350, distance : 0.000000
angle : 70.779419, distance : 0.000000
angle : 70.971680, distance : 0.000000
angle : 71.119995, distance : 0.000000
angle : 71.466064, distance : 0.000000
angle : 71.812134, distance : 0.000000
angle : 72.152710, distance : 0.000000
angle : 72.498779, distance : 0.000000
angle : 72.839355, distance : 0.000000
angle : 73.130493, distance : 0.000000
angle : 73.185425, distance : 0.000000
angle : 73.526001, distance : 0.000000
angle : 73.872070, distance : 0.000000
angle : 74.218140, distance : 0.000000
angle : 74.558716, distance : 0.000000
angle : 74.904785, distance : 0.000000
angle : 75.245361, distance : 0.000000
angle : 75.591431, distance : 0.000000
angle : 75.937500, distance : 0.000000
angle : 76.278076, distance : 0.000000
angle : 76.624146, distance : 0.000000
angle : 76.964722, distance : 0.000000
angle : 77.310791, distance : 0.000000
angle : 77.651367, distance : 0.000000
angle : 77.997437, distance : 0.000000
angle : 78.343506, distance : 0.000000
angle : 78.684082, distance : 0.000000
angle : 79.030151, distance : 0.000000
angle : 79.370728, distance : 0.000000
angle : 79.716797, distance : 0.000000
angle : 80.057373, distance : 0.000000
angle : 80.403442, distance : 0.000000
angle : 80.749512, distance : 0.000000
angle : 81.090088, distance : 0.000000
angle : 81.436157, distance : 0.000000
angle : 81.776733, distance : 0.000000
angle : 82.122803, distance : 0.000000
angle : 82.463379, distance : 0.000000
angle : 82.809448, distance : 0.000000
angle : 83.155518, distance : 0.000000
angle : 83.496094, distance : 0.000000
angle : 83.842163, distance : 0.000000
angle : 84.182739, distance : 0.000000
angle : 84.528809, distance : 0.000000
angle : 84.874878, distance : 0.000000
angle : 85.215454, distance : 0.000000
angle : 85.561523, distance : 0.000000
angle : 85.902100, distance : 0.000000
angle : 86.248169, distance : 0.000000
angle : 86.588745, distance : 0.000000
angle : 86.934814, distance : 0.000000
angle : 87.280884, distance : 0.000000
angle : 87.621460, distance : 0.000000
angle : 87.967529, distance : 0.000000
angle : 88.308105, distance : 0.000000
angle : 88.654175, distance : 0.000000
angle : 88.994751, distance : 0.000000
angle : 89.401245, distance : 0.000000
angle : 90.373535, distance : 0.000000
angle : 92.092896, distance : 0.000000
angle : 92.433472, distance : 0.000000
angle : 92.779541, distance : 0.000000
angle : 93.120117, distance : 0.000000
angle : 93.466187, distance : 0.000000
angle : 93.812256, distance : 0.000000
angle : 94.152832, distance : 0.000000
angle : 94.498901, distance : 0.000000
angle : 94.839478, distance : 0.000000
angle : 95.185547, distance : 0.000000
angle : 95.454712, distance : 0.000000
angle : 95.526123, distance : 0.000000
angle : 95.811768, distance : 0.000000
angle : 95.872192, distance : 0.000000
angle : 96.531372, distance : 0.000000
angle : 96.558838, distance : 0.000000
angle : 96.893921, distance : 0.000000
angle : 97.250977, distance : 0.000000
angle : 97.613525, distance : 0.000000
angle : 97.921143, distance : 0.000000
angle : 98.261719, distance : 0.000000
angle : 99.294434, distance : 0.000000
angle : 99.997559, distance : 0.000000
angle : 100.343628, distance : 0.000000
angle : 100.684204, distance : 0.000000
angle : 101.030273, distance : 0.000000
angle : 101.716919, distance : 0.000000
angle : 102.293701, distance : 0.000000
angle : 103.013306, distance : 0.000000
angle : 103.013306, distance : 0.000000
angle : 103.359375, distance : 0.000000
angle : 104.095459, distance : 0.000000
angle : 104.452515, distance : 0.000000
angle : 104.732666, distance : 0.000000
angle : 105.073242, distance : 0.000000
angle : 105.172119, distance : 0.000000
angle : 105.419312, distance : 0.000000
