angle : 48.262939, distance : 0.000000, cluster : 0
angle : 48.356323, distance : 0.209000, cluster : 1
angle : 48.619995, distance : 0.000000, cluster : 0
angle : 48.746338, distance : 0.208000, cluster : 1
angle : 48.982544, distance : 0.000000, cluster : 0
angle : 49.075928, distance : 0.207000, cluster : 1
angle : 49.339600, distance : 0.000000, cluster : 0
angle : 49.702148, distance : 0.000000, cluster : 0
angle : 49.746094, distance : 0.207000, cluster : 1
angle : 50.421753, distance : 0.000000, cluster : 0
angle : 51.828003, distance : 0.216000, cluster : 1
angle : 52.948608, distance : 0.203000, cluster : 1
angle : 53.294678, distance : 0.202000, cluster : 1
angle : 53.624268, distance : 0.202000, cluster : 1
angle : 54.014282, distance : 0.201000, cluster : 1
angle : 54.354858, distance : 0.201000, cluster : 1
angle : 54.640503, distance : 0.202000, cluster : 1
angle : 54.904175, distance : 0.204000, cluster : 1
angle : 55.244751, distance : 0.204000, cluster : 1
angle : 55.530396, distance : 0.205000, cluster : 1
angle : 55.854492, distance : 0.205000, cluster : 1
angle : 56.200562, distance : 0.206000, cluster : 1
angle : 56.480713, distance : 0.208000, cluster : 1
angle : 56.760864, distance : 0.209000, cluster : 1
angle : 57.046509, distance : 0.211000, cluster : 1
angle : 57.326660, distance : 0.212000, cluster : 1
angle : 57.656250, distance : 0.213000, cluster : 1
angle : 57.936401, distance : 0.214000, cluster : 1
angle : 58.276978, distance : 0.214000, cluster : 1
angle : 58.606567, distance : 0.215000, cluster : 1
angle : 58.886719, distance : 0.216000, cluster : 1
angle : 59.216309, distance : 0.217000, cluster : 1
angle : 59.496460, distance : 0.218000, cluster : 1
angle : 59.842529, distance : 0.219000, cluster : 1
angle : 60.106201, distance : 0.220000, cluster : 1
angle : 60.452271, distance : 0.220000, cluster : 1
angle : 60.776367, distance : 0.221000, cluster : 1
angle : 61.122437, distance : 0.221000, cluster : 1
angle : 61.402588, distance : 0.222000, cluster : 1
angle : 61.732178, distance : 0.222000, cluster : 1
angle : 62.072754, distance : 0.223000, cluster : 1
angle : 62.358398, distance : 0.224000, cluster : 1
angle : 62.682495, distance : 0.225000, cluster : 1
angle : 62.968140, distance : 0.226000, cluster : 1
angle : 63.292236, distance : 0.226000, cluster : 1
