angle : 61.968384, distance : 0.000000
angle : 62.248535, distance : 0.000000
angle : 62.583618, distance : 0.000000
angle : 62.589111, distance : 0.000000
angle : 62.918701, distance : 0.000000
angle : 62.946167, distance : 0.000000
angle : 63.951416, distance : 0.000000
angle : 64.028320, distance : 0.000000
angle : 64.281006, distance : 0.000000
angle : 64.747925, distance : 0.000000
angle : 64.967651, distance : 0.000000
angle : 65.308228, distance : 0.000000
angle : 65.637817, distance : 0.000000
angle : 65.824585, distance : 0.000000
angle : 65.983887, distance : 0.000000
angle : 66.187134, distance : 0.000000
angle : 67.011108, distance : 0.000000
angle : 67.637329, distance : 0.000000
angle : 67.966919, distance : 0.000000
angle : 67.988892, distance : 0.000000
angle : 68.345947, distance : 0.000000
angle : 68.933716, distance : 0.000000
angle : 69.279785, distance : 0.000000
angle : 69.428101, distance : 0.000000
angle : 69.620361, distance : 0.000000
angle : 69.949951, distance : 0.000000
angle : 70.296021, distance : 0.000000
angle : 70.636597, distance : 0.000000
angle : 70.982666, distance : 0.000000
angle : 71.224365, distance : 0.000000
angle : 71.312256, distance : 0.000000
angle : 71.586914, distance : 0.000000
angle : 71.652832, distance : 0.000000
angle : 71.998901, distance : 0.000000
angle : 72.306519, distance : 0.000000
angle : 72.339478, distance : 0.000000
angle : 72.669067, distance : 0.000000
angle : 73.015137, distance : 0.000000
angle : 73.355713, distance : 0.000000
angle : 73.388672, distance : 0.000000
angle : 73.701782, distance : 0.000000
angle : 73.745728, distance : 0.000000
angle : 74.042358, distance : 0.000000
angle : 74.371948, distance : 0.000000
angle : 74.718018, distance : 0.000000
angle : 75.058594, distance : 0.000000
angle : 75.404663, distance : 0.000000
angle : 75.734253, distance : 0.000000
angle : 76.074829, distance : 0.000000
angle : 76.420898, distance : 0.000000
angle : 76.761475, distance : 0.000000
angle : 77.107544, distance : 0.000000
angle : 77.437134, distance : 0.000000
angle : 77.777710, distance : 0.000000
angle : 78.123779, distance : 0.000000
angle : 78.464355, distance : 0.000000
angle : 78.793945, distance : 0.000000
angle : 79.140015, distance : 0.000000
angle : 79.480591, distance : 0.000000
angle : 79.826660, distance : 0.000000
angle : 80.156250, distance : 0.000000
angle : 80.496826, distance : 0.000000
angle : 80.842896, distance : 0.000000
angle : 81.183472, distance : 0.000000
angle : 81.529541, distance : 0.000000
angle : 81.859131, distance : 0.000000
angle : 82.199707, distance : 0.000000
angle : 82.545776, distance : 0.000000
angle : 82.886353, distance : 0.000000
angle : 83.215942, distance : 0.000000
angle : 83.562012, distance : 0.000000
angle : 83.902588, distance : 0.000000
angle : 84.248657, distance : 0.000000
angle : 84.572754, distance : 0.000000
angle : 84.918823, distance : 0.000000
angle : 85.264893, distance : 0.000000
angle : 85.605469, distance : 0.000000
angle : 85.951538, distance : 0.000000
angle : 86.281128, distance : 0.000000
angle : 86.621704, distance : 0.000000
angle : 86.967773, distance : 0.000000
angle : 87.308350, distance : 0.000000
angle : 87.637939, distance : 0.000000
angle : 87.984009, distance : 0.000000
angle : 88.324585, distance : 0.000000
angle : 88.670654, distance : 0.000000
angle : 88.994751, distance : 0.000000
angle : 89.340820, distance : 0.000000
angle : 90.357056, distance : 0.000000
angle : 92.169800, distance : 0.000000
angle : 92.730103, distance : 0.000000
angle : 93.076172, distance : 0.000000
angle : 93.416748, distance : 0.000000
angle : 93.746338, distance : 0.000000
angle : 94.092407, distance : 0.000000
angle : 94.432983, distance : 0.000000
angle : 94.779053, distance : 0.000000
angle : 95.108643, distance : 0.000000
angle : 95.449219, distance : 0.000000
angle : 95.795288, distance : 0.000000
angle : 96.064453, distance : 0.000000
angle : 96.124878, distance : 0.000000
angle : 96.427002, distance : 0.000000
angle : 96.465454, distance : 0.000000
angle : 97.146606, distance : 0.000000
angle : 97.503662, distance : 0.000000
angle : 97.827759, distance : 0.000000
angle : 98.151855, distance : 0.000000
angle : 98.228760, distance : 0.000000
angle : 98.497925, distance : 0.000000
angle : 98.585815, distance : 0.000000
angle : 98.948364, distance : 0.000000
angle : 99.168091, distance : 0.000000
angle : 99.854736, distance : 0.000000
angle : 100.200806, distance : 0.000000
angle : 100.546875, distance : 0.000000
angle : 100.870972, distance : 0.000000
angle : 101.217041, distance : 0.000000
angle : 101.557617, distance : 0.000000
angle : 102.903442, distance : 0.000000
angle : 103.183594, distance : 0.000000
angle : 103.628540, distance : 0.000000
angle : 104.199829, distance : 0.000000
angle : 105.067749, distance : 0.000000
angle : 105.787354, distance : 0.000000
angle : 106.144409, distance : 0.000000
angle : 106.248779, distance : 0.000000
angle : 106.506958, distance : 0.000000
angle : 106.638794, distance : 0.000000
angle : 106.979370, distance : 0.000000
angle : 107.325439, distance : 0.000000
angle : 107.671509, distance : 0.000000
angle : 107.995605, distance : 0.000000
angle : 108.341675, distance : 0.000000
angle : 108.682251, distance : 0.000000
angle : 109.011841, distance : 0.000000
angle : 109.028320, distance : 0.000000
angle : 109.357910, distance : 0.000000
angle : 109.698486, distance : 0.000000
angle : 110.028076, distance : 0.000000
angle : 110.104980, distance : 0.000000
angle : 110.374146, distance : 0.000000
angle : 110.467529, distance : 0.000000
angle : 110.714722, distance : 0.000000
angle : 111.187134, distance : 0.000000
angle : 111.544189, distance : 0.000000
angle : 111.906738, distance : 0.000000
angle : 112.263794, distance : 0.000000
angle : 112.467041, distance : 0.000000
angle : 112.626343, distance : 0.000000
angle : 112.796631, distance : 0.000000
angle : 113.345947, distance : 0.000000
angle : 113.483276, distance : 0.000000
angle : 113.708496, distance : 0.000000
angle : 117.498779, distance : 0.000000
angle : 117.839355, distance : 0.000000
angle : 118.168945, distance : 0.000000
angle : 118.515015, distance : 0.000000
angle : 118.745728, distance : 0.000000
angle : 118.855591, distance : 0.000000
angle : 119.108276, distance : 0.000000
angle : 119.201660, distance : 0.000000
angle : 119.531250, distance : 0.000000
angle : 119.871826, distance : 0.000000
angle : 120.184937, distance : 0.000000
angle : 120.261841, distance : 0.000000
angle : 120.607910, distance : 0.000000
angle : 120.904541, distance : 0.000000
angle : 120.948486, distance : 0.000000
angle : 121.267090, distance : 0.000000
angle : 121.278076, distance : 0.000000
angle : 121.624146, distance : 0.000000
angle : 121.624146, distance : 0.000000
angle : 121.964722, distance : 0.000000
angle : 121.986694, distance : 0.000000
angle : 122.310791, distance : 0.000000
angle : 122.343750, distance : 0.000000
angle : 122.640381, distance : 0.000000
angle : 122.706299, distance : 0.000000
angle : 122.980957, distance : 0.000000
angle : 123.068848, distance : 0.000000
angle : 123.327026, distance : 0.000000
angle : 123.425903, distance : 0.000000
angle : 123.667603, distance : 0.000000
angle : 123.788452, distance : 0.000000
angle : 124.013672, distance : 0.000000
angle : 124.145508, distance : 0.000000
angle : 124.343262, distance : 0.000000
angle : 124.508057, distance : 0.000000
angle : 124.683838, distance : 0.000000
angle : 124.865112, distance : 0.000000
angle : 125.029907, distance : 0.000000
angle : 125.227661, distance : 0.000000
angle : 125.370483, distance : 0.000000
angle : 125.716553, distance : 0.000000
angle : 126.046143, distance : 0.000000
angle : 126.386719, distance : 0.000000
angle : 126.732788, distance : 0.000000
angle : 127.073364, distance : 0.000000
angle : 127.419434, distance : 0.000000
angle : 127.749023, distance : 0.000000
angle : 128.155518, distance : 0.000000
angle : 128.496094, distance : 0.000000
angle : 128.825684, distance : 0.000000
angle : 129.171753, distance : 0.000000
angle : 129.512329, distance : 0.000000
angle : 129.858398, distance : 0.000000
angle : 130.198975, distance : 0.000000
angle : 130.528564, distance : 0.000000
angle : 130.874634, distance : 0.000000
angle : 131.215210, distance : 0.000000
angle : 131.561279, distance : 0.000000
angle : 131.901855, distance : 0.000000
angle : 132.231445, distance : 0.000000
angle : 132.577515, distance : 0.000000
angle : 132.918091, distance : 0.000000
angle : 133.264160, distance : 0.000000
angle : 133.604736, distance : 0.000000
angle : 133.934326, distance : 0.000000
angle : 134.280396, distance : 0.000000
angle : 134.620972, distance : 0.000000
angle : 134.967041, distance : 0.000000
angle : 135.307617, distance : 0.000000
angle : 135.653687, distance : 0.000000
angle : 135.983276, distance : 0.000000
angle : 136.323853, distance : 0.000000
angle : 136.669922, distance : 0.000000
angle : 137.010498, distance : 0.000000
angle : 137.356567, distance : 0.000000
angle : 137.686157, distance : 0.000000
angle : 138.372803, distance : 0.000000
angle : 138.933105, distance : 0.000000
angle : 139.279175, distance : 0.000000
angle : 139.619751, distance : 0.000000
angle : 139.949341, distance : 0.000000
angle : 140.295410, distance : 0.000000
angle : 140.635986, distance : 0.000000
angle : 140.982056, distance : 0.000000
angle : 141.328125, distance : 0.000000
angle : 141.652222, distance : 0.000000
angle : 141.998291, distance : 0.000000
angle : 142.338867, distance : 0.000000
angle : 142.684937, distance : 0.000000
angle : 143.031006, distance : 0.000000
angle : 143.355103, distance : 0.000000
angle : 143.701172, distance : 0.000000
angle : 144.041748, distance : 0.000000
angle : 144.387817, distance : 0.000000
angle : 144.733887, distance : 0.000000
angle : 145.057983, distance : 0.000000
angle : 145.404053, distance : 0.000000
angle : 145.810547, distance : 0.000000
angle : 146.140137, distance : 0.000000
angle : 146.480713, distance : 0.000000
angle : 146.826782, distance : 0.000000
angle : 147.167358, distance : 0.000000
angle : 147.183838, distance : 0.000000
angle : 147.513428, distance : 0.000000
angle : 147.843018, distance : 0.000000
angle : 148.183594, distance : 0.000000
angle : 148.529663, distance : 0.000000
angle : 148.870239, distance : 0.000000
angle : 149.216309, distance : 0.000000
angle : 149.545898, distance : 0.000000
angle : 149.886475, distance : 0.000000
angle : 150.232544, distance : 0.000000
angle : 150.573120, distance : 0.000000
angle : 150.919189, distance : 0.000000
angle : 151.248779, distance : 0.000000
angle : 151.935425, distance : 0.000000
angle : 152.792358, distance : 0.000000
angle : 154.698486, distance : 1.034000
angle : 155.044556, distance : 1.028000
angle : 155.390625, distance : 1.026000
angle : 155.780640, distance : 1.022000
angle : 156.121216, distance : 1.018000
angle : 156.467285, distance : 1.020000
angle : 156.807861, distance : 1.022000
angle : 157.153931, distance : 1.020000
angle : 157.483521, distance : 1.024000
angle : 157.780151, distance : 1.030000
angle : 158.104248, distance : 1.034000
angle : 158.796387, distance : 1.046000
angle : 159.933472, distance : 0.000000
angle : 160.279541, distance : 0.000000
angle : 160.620117, distance : 0.000000
angle : 160.966187, distance : 0.000000
angle : 161.224365, distance : 0.000000
angle : 161.312256, distance : 0.000000
angle : 161.636353, distance : 0.000000
angle : 161.943970, distance : 0.000000
angle : 161.982422, distance : 0.000000
angle : 162.306519, distance : 0.000000
angle : 162.322998, distance : 0.000000
angle : 162.669067, distance : 0.000000
