angle : 193.716431, distance : 0.470000
angle : 194.062500, distance : 0.470000
angle : 194.403076, distance : 0.471000
angle : 194.749146, distance : 0.472000
angle : 195.029297, distance : 0.473000
angle : 195.358887, distance : 0.474000
angle : 195.699463, distance : 0.474000
angle : 196.045532, distance : 0.475000
angle : 196.386108, distance : 0.476000
angle : 196.715698, distance : 0.477000
angle : 197.061768, distance : 0.478000
angle : 197.402344, distance : 0.478000
angle : 197.748413, distance : 0.479000
angle : 198.078003, distance : 0.480000
angle : 198.418579, distance : 0.481000
angle : 198.764648, distance : 0.482000
angle : 199.044800, distance : 0.483000
angle : 199.385376, distance : 0.484000
angle : 199.714966, distance : 0.485000
angle : 200.061035, distance : 0.486000
angle : 200.401611, distance : 0.487000
angle : 200.747681, distance : 0.488000
angle : 201.077271, distance : 0.489000
angle : 201.417847, distance : 0.490000
angle : 201.763916, distance : 0.491000
angle : 202.044067, distance : 0.492000
angle : 202.390137, distance : 0.493000
angle : 202.714233, distance : 0.494000
angle : 203.060303, distance : 0.496000
angle : 203.400879, distance : 0.497000
angle : 203.730469, distance : 0.498000
angle : 204.076538, distance : 0.499000
angle : 204.417114, distance : 0.501000
angle : 204.702759, distance : 0.502000
angle : 205.043335, distance : 0.506000
angle : 225.417480, distance : 1.326000
angle : 225.747070, distance : 1.314000
angle : 226.093140, distance : 1.304000
angle : 226.433716, distance : 1.304000
angle : 226.779785, distance : 1.306000
angle : 227.109375, distance : 1.306000
angle : 227.796021, distance : 1.304000
angle : 229.872437, distance : 0.568000
angle : 230.202026, distance : 0.568000
angle : 230.542603, distance : 0.568000
angle : 230.888672, distance : 0.568000
angle : 231.218262, distance : 0.570000
angle : 231.558838, distance : 0.570000
angle : 231.904907, distance : 0.570000
angle : 232.229004, distance : 0.570000
angle : 232.575073, distance : 0.570000
angle : 232.855225, distance : 0.572000
angle : 233.201294, distance : 0.572000
angle : 233.530884, distance : 0.572000
angle : 233.871460, distance : 0.572000
angle : 234.217529, distance : 0.574000
angle : 234.558105, distance : 0.574000
angle : 234.887695, distance : 0.576000
angle : 235.233765, distance : 0.576000
angle : 235.574341, distance : 0.576000
angle : 235.903931, distance : 0.578000
angle : 236.250000, distance : 0.578000
angle : 236.590576, distance : 0.578000
angle : 236.920166, distance : 0.580000
angle : 237.260742, distance : 0.580000
angle : 237.606812, distance : 0.580000
angle : 237.936401, distance : 0.582000
angle : 238.276978, distance : 0.582000
angle : 238.623047, distance : 0.584000
angle : 238.952637, distance : 0.584000
angle : 239.249268, distance : 0.586000
angle : 239.573364, distance : 0.586000
angle : 239.919434, distance : 0.588000
angle : 240.265503, distance : 0.590000
angle : 240.589600, distance : 0.590000
angle : 240.935669, distance : 0.592000
angle : 241.276245, distance : 0.592000
angle : 241.605835, distance : 0.592000
angle : 241.951904, distance : 0.594000
angle : 242.292480, distance : 0.596000
angle : 242.622070, distance : 0.596000
angle : 242.968140, distance : 0.598000
