dist : 1.638621, i : 5, j : 9
dist : 1.658601, i : 5, j : 10
dist : 0.000000, i : 5, j : 11
dist : 1.866229, i : 5, j : 12
dist : 2.132363, i : 5, j : 13
dist : 2.015731, i : 5, j : 14
dist : 0.000000, i : 5, j : 15
dist : 2.271951, i : 5, j : 16
dist : 0.000000, i : 5, j : 17
dist : 1.427402, i : 5, j : 18
dist : 2.476240, i : 5, j : 19
dist : 2.415246, i : 5, j : 20
dist : 2.648046, i : 5, j : 21
dist : 3.050334, i : 5, j : 22
dist : 0.000000, i : 5, j : 23
dist : 0.000000, i : 5, j : 24
dist : 2.522808, i : 5, j : 25
dist : 0.000000, i : 5, j : 26
dist : 2.578411, i : 5, j : 27
dist : 0.000000, i : 5, j : 28
dist : 0.000000, i : 5, j : 29
dist : 0.000000, i : 5, j : 30
dist : 3.269421, i : 5, j : 31
dist : 1.870718, i : 5, j : 32
dist : 2.854852, i : 5, j : 33
dist : 2.974090, i : 5, j : 34
dist : 2.576985, i : 5, j : 35
dist : 1.471845, i : 6, j : 7
dist : 1.461378, i : 6, j : 8
dist : 1.477599, i : 6, j : 9
dist : 1.468101, i : 6, j : 10
dist : 0.000000, i : 6, j : 11
dist : 1.657978, i : 6, j : 12
dist : 1.911596, i : 6, j : 13
dist : 1.735732, i : 6, j : 14
dist : 0.000000, i : 6, j : 15
dist : 1.966973, i : 6, j : 16
dist : 0.000000, i : 6, j : 17
dist : 0.911831, i : 6, j : 18
dist : 2.046380, i : 6, j : 19
dist : 1.937313, i : 6, j : 20
dist : 2.137331, i : 6, j : 21
dist : 2.515405, i : 6, j : 22
dist : 0.000000, i : 6, j : 23
dist : 0.000000, i : 6, j : 24
dist : 1.877511, i : 6, j : 25
dist : 0.000000, i : 6, j : 26
dist : 1.959957, i : 6, j : 27
dist : 0.000000, i : 6, j : 28
dist : 0.000000, i : 6, j : 29
dist : 0.000000, i : 6, j : 30
dist : 2.811894, i : 6, j : 31
dist : 1.410968, i : 6, j : 32
dist : 2.469229, i : 6, j : 33
dist : 2.727677, i : 6, j : 34
dist : 2.354307, i : 6, j : 35
dist : 0.308120, i : 7, j : 8
dist : 0.487057, i : 7, j : 9
dist : 0.557728, i : 7, j : 10
dist : 0.000000, i : 7, j : 11
dist : 0.700761, i : 7, j : 12
dist : 0.912491, i : 7, j : 13
dist : 0.942492, i : 7, j : 14
dist : 0.000000, i : 7, j : 15
dist : 1.178637, i : 7, j : 16
dist : 0.000000, i : 7, j : 17
dist : 1.264425, i : 7, j : 18
dist : 1.620932, i : 7, j : 19
dist : 1.706160, i : 7, j : 20
dist : 1.987998, i : 7, j : 21
dist : 2.404627, i : 7, j : 22
dist : 0.000000, i : 7, j : 23
dist : 0.000000, i : 7, j : 24
dist : 2.696705, i : 7, j : 25
dist : 0.000000, i : 7, j : 26
dist : 3.059596, i : 7, j : 27
dist : 0.000000, i : 7, j : 28
dist : 0.000000, i : 7, j : 29
dist : 0.000000, i : 7, j : 30
dist : 4.197652, i : 7, j : 31
dist : 2.837197, i : 7, j : 32
dist : 3.911754, i : 7, j : 33
dist : 4.199519, i : 7, j : 34
dist : 3.824483, i : 7, j : 35
dist : 0.179034, i : 8, j : 9
dist : 0.250782, i : 8, j : 10
dist : 0.000000, i : 8, j : 11
dist : 0.401751, i : 8, j : 12
dist : 0.637580, i : 8, j : 13
dist : 0.637870, i : 8, j : 14
dist : 0.000000, i : 8, j : 15
dist : 0.881381, i : 8, j : 16
dist : 0.000000, i : 8, j : 17
dist : 1.064758, i : 8, j : 18
dist : 1.312838, i : 8, j : 19
dist : 1.401105, i : 8, j : 20
dist : 1.682912, i : 8, j : 21
dist : 2.098005, i : 8, j : 22
dist : 0.000000, i : 8, j : 23
dist : 0.000000, i : 8, j : 24
dist : 2.469353, i : 8, j : 25
dist : 0.000000, i : 8, j : 26
dist : 2.873989, i : 8, j : 27
dist : 0.000000, i : 8, j : 28
dist : 0.000000, i : 8, j : 29
dist : 0.000000, i : 8, j : 30
dist : 4.082402, i : 8, j : 31
dist : 2.757846, i : 8, j : 32
dist : 3.832849, i : 8, j : 33
dist : 4.168490, i : 8, j : 34
dist : 3.805594, i : 8, j : 35
dist : 0.074174, i : 9, j : 10
dist : 0.000000, i : 9, j : 11
dist : 0.243079, i : 9, j : 12
dist : 0.501385, i : 9, j : 13
dist : 0.465075, i : 9, j : 14
dist : 0.000000, i : 9, j : 15
dist : 0.715882, i : 9, j : 16
dist : 0.000000, i : 9, j : 17
dist : 0.968410, i : 9, j : 18
dist : 1.134127, i : 9, j : 19
dist : 1.223410, i : 9, j : 20
dist : 1.505114, i : 9, j : 21
dist : 1.919373, i : 9, j : 22
dist : 0.000000, i : 9, j : 23
dist : 0.000000, i : 9, j : 24
dist : 2.340328, i : 9, j : 25
dist : 0.000000, i : 9, j : 26
dist : 2.769919, i : 9, j : 27
dist : 0.000000, i : 9, j : 28
dist : 0.000000, i : 9, j : 29
dist : 0.000000, i : 9, j : 30
dist : 4.017726, i : 9, j : 31
dist : 2.719375, i : 9, j : 32
dist : 3.790452, i : 9, j : 33
dist : 4.153420, i : 9, j : 34
dist : 3.798615, i : 9, j : 35
dist : 0.000000, i : 10, j : 11
dist : 0.207851, i : 10, j : 12
dist : 0.473804, i : 10, j : 13
dist : 0.406788, i : 10, j : 14
dist : 0.000000, i : 10, j : 15
dist : 0.663059, i : 10, j : 16
dist : 0.000000, i : 10, j : 17
dist : 0.916838, i : 10, j : 18
dist : 1.065289, i : 10, j : 19
dist : 1.150422, i : 10, j : 20
dist : 1.432203, i : 10, j : 21
dist : 1.847310, i : 10, j : 22
dist : 0.000000, i : 10, j : 23
dist : 0.000000, i : 10, j : 24
dist : 2.275063, i : 10, j : 25
dist : 0.000000, i : 10, j : 26
dist : 2.712263, i : 10, j : 27
dist : 0.000000, i : 10, j : 28
dist : 0.000000, i : 10, j : 29
dist : 0.000000, i : 10, j : 30
dist : 3.973066, i : 10, j : 31
dist : 2.685323, i : 10, j : 32
dist : 3.754096, i : 10, j : 33
dist : 4.127357, i : 10, j : 34
dist : 3.775936, i : 10, j : 35
dist : 0.000000, i : 11, j : 12
dist : 0.000000, i : 11, j : 13
dist : 0.000000, i : 11, j : 14
dist : 0.000000, i : 11, j : 15
dist : 0.000000, i : 11, j : 16
dist : 0.000000, i : 11, j : 17
dist : 0.000000, i : 11, j : 18
dist : 0.000000, i : 11, j : 19
dist : 0.000000, i : 11, j : 20
dist : 0.000000, i : 11, j : 21
dist : 0.000000, i : 11, j : 22
dist : 0.000000, i : 11, j : 23
dist : 0.000000, i : 11, j : 24
dist : 0.000000, i : 11, j : 25
dist : 0.000000, i : 11, j : 26
dist : 0.000000, i : 11, j : 27
dist : 0.000000, i : 11, j : 28
dist : 0.000000, i : 11, j : 29
dist : 0.000000, i : 11, j : 30
dist : 0.000000, i : 11, j : 31
dist : 0.000000, i : 11, j : 32
dist : 0.000000, i : 11, j : 33
dist : 0.000000, i : 11, j : 34
dist : 0.000000, i : 11, j : 35
dist : 0.266169, i : 12, j : 13
dist : 0.246512, i : 12, j : 14
dist : 0.000000, i : 12, j : 15
dist : 0.479709, i : 12, j : 16
dist : 0.000000, i : 12, j : 17
dist : 1.030641, i : 12, j : 18
dist : 0.938154, i : 12, j : 19
dist : 1.060973, i : 12, j : 20
dist : 1.338622, i : 12, j : 21
dist : 1.740753, i : 12, j : 22
dist : 0.000000, i : 12, j : 23
dist : 0.000000, i : 12, j : 24
dist : 2.317157, i : 12, j : 25
dist : 0.000000, i : 12, j : 26
dist : 2.789519, i : 12, j : 27
dist : 0.000000, i : 12, j : 28
dist : 0.000000, i : 12, j : 29
dist : 0.000000, i : 12, j : 30
